CheeseId,CheeseName,ManufacturerName,ManufacturerProvCode,ManufacturingType,WebSite,FatContentPercent,MoisturePercent,Particularities,Flavour,Characteristics,Ripening,Organic,CategoryType,MilkType,MilkTreatmentType,RindType,LastUpdateDate
228,Sieur de Duplessis (Le),Fromages la faim de loup,NB,Farmstead,N/A,24.20,47.00,N/A,"Sharp, lactic",Uncooked,9 Months,false,Firm Cheese,Ewe,Raw Milk,Washed Rind,2016-02-03
242,Tomme Le Champ Doré,Fromages la faim de loup,NB,Farmstead,N/A,24.20,47.90,N/A,"Sharp, lactic, lightly caramelized",Uncooked,N/A,false,Semi-soft Cheese,Cow,Raw Milk,Washed Rind,2016-02-03
301,Provolone Sette Fette (Tre-Stelle),Tre Stelle (Arla Foods),ON,Industrial,http://www.trestelle.ca/english/,24.00,54.00,N/A,"Mild, tangy, and fruity","Pressed and cooked cheese, pasta filata, interiror ripened",N/A,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
303,Geai Bleu (Le),Fromages la faim de loup,NB,Farmstead,N/A,29.00,47.00,N/A,Sharp with fruity notes and a hint of wild honey,N/A,3 Months,false,Veined Cheeses,Cow,Raw Milk,N/A,2016-02-03
319,Gamin (Le),Fromages la faim de loup,NB,Farmstead,N/A,24.60,49.40,N/A,Softer taste,N/A,2 Months,true,Semi-soft Cheese,Cow,Raw Milk,Washed Rind,2016-02-03
350,Paneer (Northumberland Co-operative),Northumberland Co-operative,NB,Industrial,http://www.northumberlanddairy.ca/e/0001e.cfm,25.00,48.00,"Traditional Indian Cheese, also available : Light Paneer",N/A,Classic fresh cooking cheeses,Less than 1 Month,false,Fresh Cheese,Cow,Pasteurized,N/A,2016-02-03
374,Goat Brie (Woolwich),Woolwich Dairy,ON,Industrial,http://www.woolwichdairy.com,22.00,52.00,"Rennet free, ripens from the outside in","Rich, creamy, buttery, both subtle and tangy in taste",N/A,Less than 1 Month,false,Soft Cheese,Goat,Pasteurized,Bloomy Rind,2016-02-03
375,Goat Cheddar (Woolwich),Woolwich Dairy,ON,Industrial,http://www.woolwichdairy.com,29.00,41.00,"Medium Aged, rennet free",Mild,"Whitem, smooth, firm textured",4 Months,false,Firm Cheese,Goat,Pasteurized,N/A,2016-02-03
376,Goat Mozarella (Woolwich),Woolwich Dairy,ON,Industrial,http://www.woolwichdairy.com,22.00,50.00,Rennet free,Mild,N/A,N/A,false,Semi-soft Cheese,Goat,Pasteurized,N/A,2016-02-03
378,Goat Feta (Woolwich),Woolwich Dairy,ON,Industrial,http://www.woolwichdairy.com,22.00,55.00,Rennet free,"Sharp, tangy, salty",With or without brine,Less than 1 Month,false,Soft Cheese,Goat,Pasteurized,N/A,2016-02-03
379,Madame Chèvre Elite,Woolwich Dairy,ON,Industrial,http://www.woolwichdairy.com,21.00,57.00,"Roasted Red Pepper, Cranberry with Port, Mediterranean, Lemon poppy seed",Rich and creamy,Fresh cheese,N/A,false,Fresh Cheese,Goat,Pasteurized,N/A,2016-02-03
406,Leoni-Grana,Leoni-Grana,AB,Artisan,N/A,0.00,0.00,N/A,N/A,Parmesan type,6 Months,false,Hard Cheese,Cow,Raw Milk,N/A,2016-02-03
414,Gouda (Jerseyland Organic),Jerseyland Organics,BC,Farmstead,http://www.jerseylandorganics.ca,33.00,34.00,"Available : Plain, Garlic and dill, Mixed herb, Caraway, Cumin, Onion & garlic, Hemp",N/A,"Organic. Made with Jersey Milk as such very rich, creamy and pleasing colour",2 Months,true,Semi-soft Cheese,Cow,Raw Milk,N/A,2016-02-03
415,Cheddar (Jerseyland Organic),Jerseyland Organics,BC,Farmstead,http://www.jerseylandorganics.ca,33.00,34.00,"Available : Plain, onion and garlic, Jalapeno/Habenero, Leicester",N/A,Organic. No dye/colour added.  Made from Jersey Milk,2 Months,true,Semi-soft Cheese,Cow,Raw Milk,N/A,2016-02-03
416,Grana (Jerseyland Organic),Jerseyland Organics,BC,Farmstead,http://www.jerseylandorganics.ca,33.00,33.00,N/A,N/A,Organic. Our grana's are Parmesan and Asiago; these are from our own Jersey milk. No colouring added,2 Months,true,Hard Cheese,Cow,Raw Milk,N/A,2016-02-03
417,Feta (Jerseyland Organic),Jerseyland Organics,BC,Farmstead,http://www.jerseylandorganics.ca,31.00,43.00,Available : Plain or Sundried tomato and oregano and onion,Creamy and rich tasting.  Creamy in colour due to the carotene in Jersey milk,Organic. Made with Jersey milk,2 Months,true,Soft Cheese,Cow,Raw Milk,N/A,2016-02-03
418,Udderly Organic Goat Gouda (Jerseyland Organic),Jerseyland Organics,BC,Farmstead,http://www.jerseylandorganics.ca,33.00,34.00,N/A,"Available : Plain , garlic and dill, mixed herbs",Organic,2 Months,true,Semi-soft Cheese,Goat,Raw Milk,N/A,2016-02-03
419,Udderly Organic Goat Feta (Jerseyland Organic),Jerseyland Organics,BC,Farmstead,http://www.jerseylandorganics.ca,32.00,43.00,N/A,"Available : Plain,  sundried tomato and herbs",Organic,2 Months,true,Soft Cheese,Goat,Raw Milk,N/A,2016-02-03
624,Madawaska,Back Forty Artisan Cheese,ON,Artisan,http://www.artisancheese.ca,0.00,0.00,N/A,N/A,"Slightly tangy center moving to a soft, sweet and slightly salty cream under the rind.",2 Months,false,Soft Cheese,Ewe,Raw Milk,Bloomy Rind,2016-02-03
629,Cracked Pepper Verdelait,Natural Pastures Cheese Company,BC,Artisan,http://www.naturalpastures.com,30.00,41.00,The Royal Agricultural Winter Fair 1st Place,"Spiked with a slightly warm, premium, cracked black pepper","Ripened, creamy cheese",N/A,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
630,Cumin Verdelait,Natural Pastures Cheese Company,BC,Artisan,http://www.naturalpastures.com,30.00,41.00,The Royal Agricultural Winter Fair 1st Place 2004,"Mild flavour of sweet butter and a delicate, smokey, exotic, lemony finish",N/A,N/A,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
631,Garlic and Chive Verdelait,Natural Pastures Cheese Company,BC,Artisan,http://www.naturalpastures.com,30.00,41.00,British Empire Cheese Show 2004 1st Place,Flavourful blend of garlic and chives,N/A,N/A,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
632,Wasabi Verdelait,Natural Pastures Cheese Company,BC,Artisan,http://www.naturalpastures.com,30.00,41.00,N/A,"Ginger, garlic and local organic wasabi.",N/A,N/A,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
648,Comox Camembert,Natural Pastures Cheese Company,BC,Artisan,http://www.naturalpastures.com,28.00,48.00,2006 Canadian Grand Prix Finalist,Creamy with a note of mushroom,"Ripened,",N/A,false,Soft Cheese,Cow,Pasteurized,N/A,2016-02-03
655,Provolone (Silani),Silani Sweet Cheese,ON,Industrial,http://www.silani.ca,24.00,45.00,"2006 Canadian Cheese Grand Prix Category Champion ""Pasta filata""",Mild to sharp with light smoky flavour Also available with Omega 3,Supple and smooth with a golden-yellow waxed rind,2 Months,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
656,Ricotta (Silani),Silani Sweet Cheese,ON,Industrial,http://www.silani.ca,10.00,80.00,2006 Canadian Cheese Grand Prix Finalist,Milky Also available with Omega 3,"Granular, creamy and soft in texture",Unripened,false,Fresh Cheese,Cow,Pasteurized,No Rind,2016-02-03
657,Gouda (Sylvan Star Ltd.),Sylvan Star Cheese,AB,Farmstead,http://www.sylvanstarcheesefarm.ca,28.00,43.00,"2006, 2009, 2011 Canadian Cheese Grand Prix Category Champion","Basil, black pepper, black pepper and garlic, cumin, dill, fenugreek, friesian cloves, green peppercorn, greeen peppecorn with cayenne, italian herbs","Mild, medium, aged",15 Months,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
658,Niagara Gold,Upper Canada Cheese Company,ON,Farmstead,http://www.uppercanadacheese.com,32.00,39.00,2006 Canadian Cheese Grand Prix Finalist,"Mild and sweet, nutty and buttery flavour.",Made from Guernsey milk.,5 Months,false,Semi-soft Cheese,Cow,Pasteurized,Washed Rind,2016-02-03
659,Comfort Cream,Upper Canada Cheese Company,ON,Farmstead,http://www.uppercanadacheese.com,0.00,0.00,"Awarded second place (silver) at the 2009 American Cheese Society Judging and Competition in Austin, TX.","Earthy, tangy flavour",Similar to Camembert,Less than 1 Month,false,Soft Cheese,Cow,Pasteurized,Bloomy Rind,2016-02-03
662,Cheddar (Balderson),Balderson Cheese (Parmalat),ON,Industrial,http://www.baldersoncheese.ca,31.00,39.00,N/A,N/A,N/A,More than 5 Years,false,Firm Cheese,Cow,Pasteurized,No Rind,2017-01-18
663,Cheddars (Fromagerie St-Albert),Fromagerie St-Albert,ON,Industrial,http://www.fromage-st-albert.com/eng/eng.htm,31.00,39.00,N/A,"Five peppers, garlic, dill, chives, fine herbs and tomato, apple etc","Curds, mild, medium, old, extra old, extra old 5 years.",15 Months,false,Firm Cheese,Cow,Pasteurized,N/A,2016-04-14
